run_id,name,category,mode,width,height,frames,duration_s,steps,fast,seed,elapsed_s,size_kb,desc
HUMAN_RUN_A,Human_512x288_90f_10st_FastON_s42,human_steps_baseline,I2V,512,288,90,3.75,10,True,42,446.06,316.3,"Current Standard-style low-quality baseline (512x288, 10st, Fast ON, s42)"
HUMAN_RUN_B,Human_640x384_90f_12st_FastON_s42,human_steps_baseline,I2V,640,384,90,3.75,12,True,42,617.95,487.9,"Exact Current High baseline (640x384, 12st, Fast ON, s42)"
HUMAN_RUN_C,Human_640x384_90f_16st_FastON_s42,human_steps_baseline,I2V,640,384,90,3.75,16,True,42,713.28,529.4,"Proposed Standard (640x384, 16st, Fast ON, s42)"
HUMAN_RUN_D,Human_640x384_90f_20st_FastON_s42,human_steps_baseline,I2V,640,384,90,3.75,20,True,42,741.69,483.9,"Proposed High (640x384, 20st, Fast ON, s42)"
HUMAN_RUN_E,Human_640x384_90f_16st_FastOFF_s42,human_fast_comparison,I2V,640,384,90,3.75,16,False,42,1175.6,335.6,"Fast ON/OFF Human Quality Verification (640x384, 16st, Fast OFF, s42)"
HUMAN_RUN_F,Human_640x384_141f_20st_FastON_s42,human_duration,I2V,640,384,141,5.88,20,True,42,1121.49,536.5,"5.88-second Human Late-Frame Stability (640x384, 141f, 20st, Fast ON, s42)"
HUMAN_RUN_G,Human_384x640_90f_16st_FastON_s42,human_portrait,I2V,384,640,90,3.75,16,True,42,718.61,455.2,"Portrait Preset Validation (384x640, 90f, 16st, Fast ON, s42)"
HUMAN_RUN_H,Human_640x384_90f_16st_FastON_s31415,human_seed_replication,I2V,640,384,90,3.75,16,True,31415,709.62,598.6,"Second-Seed Replication 16st (640x384, 16st, Fast ON, s31415)"
HUMAN_RUN_I,Human_640x384_90f_20st_FastON_s31415,human_seed_replication,I2V,640,384,90,3.75,20,True,31415,735.0,529.3,"Second-Seed Replication 20st (640x384, 20st, Fast ON, s31415)"
